Date,Team 1,FT,Team 2
Fri Mar 01 2019,Al-Raed,0-0,Al-Qadsiah
Fri Mar 01 2019,Al-Hilal,2-1,Al-Faisaly
Fri Mar 01 2019,Al-Ahli,1-1,Al-Ittihad
Sat Mar 02 2019,Al-Batin,1-1,Al-Wehda
Sat Mar 02 2019,Al-Hazem,0-1,Al-Fayha
Thu Mar 07 2019,Al-Shabab,2-1,Al-Faisaly
Thu Mar 07 2019,Al-Taawoun,2-1,Al-Raed
Fri Mar 08 2019,Al-Qadsiah,1-2,Al-Ahli
Fri Mar 08 2019,Al-Nassr,3-2,Al-Ettifaq
Fri Mar 08 2019,Al-Ittihad,2-0,Al-Fayha
Fri Mar 08 2019,Al-Hilal,1-1,Al-Wehda
Sat Mar 09 2019,Al-Fateh,0-2,Al-Batin
Sat Mar 09 2019,Al-Hazem,2-2,Ohod
Thu Mar 14 2019,Al-Faisaly,3-0,Al-Qadsiah
Thu Mar 14 2019,Al-Taawoun,1-1,Al-Fateh
Fri Mar 15 2019,Al-Raed,1-0,Al-Batin
Fri Mar 15 2019,Al-Ettifaq,1-1,Al-Shabab
Sat Mar 16 2019,Al-Hazem,0-3,Al-Ittihad
Sat Mar 16 2019,Al-Wehda,0-4,Al-Nassr
Sat Mar 23 2019,Al-Hilal,0-0,Ohod
Thu Mar 28 2019,Al-Hazem,1-0,Al-Fateh
Thu Mar 28 2019,Al-Fayha,2-1,Al-Batin
Thu Mar 28 2019,Al-Taawoun,1-0,Al-Wehda
Thu Mar 28 2019,Al-Ettifaq,3-2,Al-Qadsiah
Thu Mar 28 2019,Al-Ahli,4-5,Al-Raed
Fri Mar 29 2019,Al-Faisaly,3-2,Al-Ittihad
Fri Mar 29 2019,Al-Nassr,3-2,Al-Hilal
Sat Mar 30 2019,Ohod,1-2,Al-Shabab
Mon Apr 01 2019,Al-Fayha,0-2,Al-Ahli
Thu Apr 04 2019,Al-Raed,0-5,Al-Nassr
Thu Apr 04 2019,Al-Hazem,2-3,Al-Hilal
Fri Apr 05 2019,Al-Qadsiah,4-2,Ohod
Fri Apr 05 2019,Al-Faisaly,1-1,Al-Fateh
Fri Apr 05 2019,Al-Shabab,0-4,Al-Ahli
Fri Apr 05 2019,Al-Ittihad,4-1,Al-Batin
Sat Apr 06 2019,Al-Fayha,2-1,Al-Taawoun
Sat Apr 06 2019,Al-Wehda,3-1,Al-Ettifaq
Thu Apr 11 2019,Al-Ettifaq,0-0,Al-Fateh
Thu Apr 11 2019,Al-Batin,1-2,Al-Shabab
Thu Apr 11 2019,Al-Hazem,1-0,Al-Raed
Fri Apr 12 2019,Al-Taawoun,2-0,Al-Qadsiah
Fri Apr 12 2019,Ohod,1-3,Al-Fayha
Fri Apr 12 2019,Al-Wehda,1-2,Al-Faisaly
Fri Apr 12 2019,Al-Ahli,0-1,Al-Hilal
Sat Apr 13 2019,Al-Nassr,2-3,Al-Ittihad
Thu Apr 18 2019,Al-Ittihad,2-0,Al-Ettifaq
Thu Apr 18 2019,Al-Nassr,5-0,Al-Fateh
Fri Apr 19 2019,Al-Qadsiah,0-2,Al-Batin
Fri Apr 19 2019,Al-Raed,5-1,Ohod
Fri Apr 19 2019,Al-Ahli,3-2,Al-Wehda
Sat Apr 20 2019,Al-Shabab,2-0,Al-Hazem
Sat Apr 20 2019,Al-Fayha,3-4,Al-Faisaly
Mon Apr 29 2019,Al-Hilal,0-2,Al-Taawoun
Sat May 11 2019,Al-Faisaly,1-4,Al-Ahli
Sat May 11 2019,Al-Ittihad,6-2,Al-Fateh
Sat May 11 2019,Al-Raed,0-0,Al-Fayha
Sat May 11 2019,Al-Hazem,0-3,Al-Nassr
Sat May 11 2019,Al-Shabab,0-0,Al-Taawoun
Sat May 11 2019,Al-Batin,0-1,Ohod
Sat May 11 2019,Al-Ettifaq,0-1,Al-Hilal
Sat May 11 2019,Al-Wehda,4-0,Al-Qadsiah
Thu May 16 2019,Al-Taawoun,2-1,Al-Faisaly
Thu May 16 2019,Al-Fayha,5-2,Al-Wehda
Thu May 16 2019,Al-Hilal,3-2,Al-Shabab
Thu May 16 2019,Al-Ahli,5-0,Al-Ettifaq
Thu May 16 2019,Ohod,1-0,Al-Ittihad
Thu May 16 2019,Al-Nassr,2-1,Al-Batin
Thu May 16 2019,Al-Qadsiah,2-2,Al-Hazem
Thu May 16 2019,Al-Fateh,0-4,Al-Raed
