Date,Team 1,FT,Team 2
Thu Aug 30 2018,Al-Ettifaq,1-1,Al-Raed
Thu Aug 30 2018,Al-Hazem,0-0,Al-Wehda
Thu Aug 30 2018,Ohod,1-2,Al-Nassr
Fri Aug 31 2018,Al-Qadsiah,0-0,Al-Fateh
Fri Aug 31 2018,Al-Shabab,1-0,Al-Ittihad
Fri Aug 31 2018,Al-Hilal,1-0,Al-Fayha
Fri Aug 31 2018,Al-Faisaly,2-2,Al-Batin
Sat Sep 01 2018,Al-Ahli,1-1,Al-Taawoun
Thu Sep 13 2018,Al-Ettifaq,3-2,Al-Batin
Thu Sep 13 2018,Al-Fateh,0-0,Al-Wehda
Thu Sep 13 2018,Al-Hazem,1-1,Al-Taawoun
Fri Sep 14 2018,Al-Nassr,2-1,Al-Faisaly
Fri Sep 14 2018,Al-Fayha,1-3,Al-Shabab
Fri Sep 14 2018,Ohod,0-2,Al-Ahli
Sat Sep 15 2018,Al-Raed,1-3,Al-Hilal
Sat Sep 15 2018,Al-Ittihad,0-3,Al-Qadsiah
Wed Sep 19 2018,Al-Qadsiah,0-3,Al-Nassr
Thu Sep 20 2018,Al-Shabab,1-1,Al-Fateh
Thu Sep 20 2018,Al-Taawoun,5-3,Al-Ittihad
Thu Sep 20 2018,Al-Hilal,3-1,Al-Batin
Fri Sep 21 2018,Al-Ettifaq,3-0,Al-Fayha
Fri Sep 21 2018,Al-Faisaly,2-0,Ohod
Fri Sep 21 2018,Al-Ahli,2-0,Al-Hazem
Sat Sep 22 2018,Al-Wehda,4-1,Al-Raed
Mon Sep 24 2018,Al-Fateh,2-3,Al-Hilal
Mon Sep 24 2018,Al-Nassr,1-0,Al-Taawoun
Wed Sep 26 2018,Al-Ittihad,2-2,Al-Wehda
Thu Sep 27 2018,Al-Ettifaq,0-0,Ohod
Thu Sep 27 2018,Al-Hazem,2-1,Al-Faisaly
Fri Sep 28 2018,Al-Fayha,4-2,Al-Qadsiah
Fri Sep 28 2018,Al-Raed,1-1,Al-Shabab
Sat Sep 29 2018,Al-Ahli,2-0,Al-Batin
Thu Oct 04 2018,Al-Fateh,2-0,Al-Ittihad
Thu Oct 04 2018,Al-Fayha,0-3,Al-Raed
Fri Oct 05 2018,Al-Taawoun,1-1,Al-Shabab
Fri Oct 05 2018,Ohod,0-1,Al-Batin
Fri Oct 05 2018,Al-Ahli,2-0,Al-Faisaly
Fri Oct 05 2018,Al-Nassr,5-1,Al-Hazem
Sat Oct 06 2018,Al-Qadsiah,0-1,Al-Wehda
Thu Oct 18 2018,Al-Hazem,2-1,Al-Qadsiah
Thu Oct 18 2018,Al-Wehda,2-1,Al-Fayha
Fri Oct 19 2018,Al-Faisaly,1-4,Al-Taawoun
Fri Oct 19 2018,Al-Batin,0-2,Al-Nassr
Fri Oct 19 2018,Al-Raed,0-3,Al-Fateh
Fri Oct 19 2018,Al-Ittihad,1-1,Ohod
Sat Oct 20 2018,Al-Ettifaq,6-2,Al-Ahli
Sat Oct 20 2018,Al-Shabab,0-1,Al-Hilal
Wed Oct 24 2018,Al-Faisaly,2-0,Al-Raed
Thu Oct 25 2018,Al-Ettifaq,1-0,Al-Hazem
Thu Oct 25 2018,Al-Ahli,5-1,Al-Fateh
Thu Oct 25 2018,Al-Hilal,3-1,Al-Ittihad
Fri Oct 26 2018,Al-Shabab,2-1,Al-Qadsiah
Fri Oct 26 2018,Al-Batin,0-5,Al-Taawoun
Fri Oct 26 2018,Ohod,1-3,Al-Wehda
Fri Oct 26 2018,Al-Fayha,1-1,Al-Nassr
Thu Nov 01 2018,Al-Fateh,1-2,Al-Fayha
Thu Nov 01 2018,Al-Faisaly,5-1,Al-Ettifaq
Thu Nov 01 2018,Al-Batin,1-0,Al-Hazem
Thu Nov 01 2018,Al-Wehda,0-1,Al-Shabab
Thu Nov 01 2018,Al-Ittihad,1-2,Al-Raed
Fri Nov 02 2018,Al-Qadsiah,0-2,Al-Hilal
Fri Nov 02 2018,Ohod,1-0,Al-Taawoun
Sat Nov 03 2018,Al-Nassr,0-2,Al-Ahli
Tue Nov 06 2018,Al-Hilal,4-1,Al-Ettifaq
Thu Nov 08 2018,Al-Batin,2-2,Al-Fateh
Thu Nov 08 2018,Al-Faisaly,0-0,Al-Shabab
Thu Nov 08 2018,Ohod,3-3,Al-Hazem
Fri Nov 09 2018,Al-Ahli,0-2,Al-Qadsiah
Sat Nov 10 2018,Al-Fayha,2-1,Al-Ittihad
Sun Nov 11 2018,Al-Wehda,0-3,Al-Hilal
Sun Nov 11 2018,Al-Ettifaq,1-2,Al-Nassr
Thu Nov 22 2018,Al-Fateh,4-0,Ohod
Thu Nov 22 2018,Al-Fayha,1-1,Al-Hazem
Thu Nov 22 2018,Al-Wehda,1-0,Al-Batin
Fri Nov 23 2018,Al-Qadsiah,3-1,Al-Raed
Fri Nov 23 2018,Al-Nassr,1-0,Al-Shabab
Sat Nov 24 2018,Al-Ettifaq,2-4,Al-Taawoun
Sat Nov 24 2018,Al-Faisaly,1-1,Al-Hilal
Sun Nov 25 2018,Al-Ittihad,1-3,Al-Ahli
Thu Nov 29 2018,Al-Shabab,2-2,Al-Ettifaq
Fri Nov 30 2018,Al-Qadsiah,1-1,Al-Faisaly
Fri Nov 30 2018,Al-Ahli,1-1,Al-Fayha
Sat Dec 01 2018,Al-Fateh,0-2,Al-Taawoun
Sat Dec 01 2018,Al-Batin,1-3,Al-Raed
Sun Dec 02 2018,Al-Nassr,1-2,Al-Wehda
Sun Dec 02 2018,Al-Ittihad,2-2,Al-Hazem
Thu Dec 06 2018,Al-Batin,1-0,Al-Fayha
Thu Dec 06 2018,Al-Qadsiah,2-0,Al-Ettifaq
Thu Dec 06 2018,Al-Shabab,1-0,Ohod
Thu Dec 06 2018,Al-Ittihad,1-2,Al-Faisaly
Fri Dec 07 2018,Al-Wehda,0-1,Al-Taawoun
Sat Dec 08 2018,Al-Hilal,2-2,Al-Nassr
Sat Dec 08 2018,Al-Fateh,3-2,Al-Hazem
Sat Dec 08 2018,Al-Raed,0-0,Al-Ahli
Wed Dec 12 2018,Ohod,0-1,Al-Hilal
Thu Dec 13 2018,Al-Ettifaq,2-1,Al-Wehda
Thu Dec 13 2018,Al-Fateh,1-1,Al-Faisaly
Fri Dec 14 2018,Al-Nassr,4-0,Al-Raed
Fri Dec 14 2018,Al-Taawoun,3-0,Al-Fayha
Fri Dec 14 2018,Al-Batin,1-3,Al-Ittihad
Sat Dec 15 2018,Al-Hilal,1-2,Al-Hazem
Sat Dec 15 2018,Al-Ahli,0-1,Al-Shabab
Mon Dec 17 2018,Ohod,1-3,Al-Qadsiah
Thu Dec 20 2018,Al-Raed,1-0,Al-Hazem
Thu Dec 20 2018,Al-Faisaly,3-0,Al-Wehda
Fri Dec 21 2018,Al-Shabab,4-0,Al-Batin
Fri Dec 21 2018,Al-Hilal,4-3,Al-Ahli
Fri Dec 21 2018,Al-Qadsiah,3-1,Al-Taawoun
Fri Dec 21 2018,Al-Fateh,0-0,Al-Ettifaq
Fri Dec 21 2018,Al-Ittihad,1-2,Al-Nassr
Sat Dec 22 2018,Al-Fayha,3-0,Ohod
Tue Dec 25 2018,Al-Raed,2-1,Al-Taawoun
Thu Dec 27 2018,Al-Batin,2-0,Al-Qadsiah
Thu Dec 27 2018,Al-Faisaly,1-0,Al-Fayha
Fri Dec 28 2018,Al-Fateh,0-0,Al-Nassr
Fri Dec 28 2018,Al-Hazem,1-3,Al-Shabab
Fri Dec 28 2018,Al-Wehda,2-1,Al-Ahli
Sat Dec 29 2018,Al-Ettifaq,1-0,Al-Ittihad
Sun Dec 30 2018,Ohod,0-1,Al-Raed
Sun Dec 30 2018,Al-Taawoun,2-2,Al-Hilal
Thu Jan 10 2019,Al-Faisaly,2-2,Al-Nassr
Thu Jan 10 2019,Al-Taawoun,1-1,Al-Hazem
Thu Jan 10 2019,Al-Wehda,1-0,Al-Fateh
Thu Jan 10 2019,Al-Qadsiah,0-1,Al-Ittihad
Fri Jan 11 2019,Al-Hilal,1-1,Al-Raed
Fri Jan 11 2019,Al-Shabab,4-1,Al-Fayha
Fri Jan 11 2019,Al-Batin,0-0,Al-Ettifaq
Fri Jan 11 2019,Al-Ahli,5-1,Ohod
Sun Jan 27 2019,Al-Fateh,2-0,Al-Qadsiah
Sun Jan 27 2019,Al-Fayha,1-5,Al-Hilal
Mon Jan 28 2019,Al-Batin,2-0,Al-Faisaly
Mon Jan 28 2019,Al-Nassr,4-0,Ohod
Mon Jan 28 2019,Al-Wehda,1-1,Al-Hazem
Mon Jan 28 2019,Al-Taawoun,3-4,Al-Ahli
Tue Jan 29 2019,Al-Raed,1-2,Al-Ettifaq
Tue Jan 29 2019,Al-Ittihad,0-0,Al-Shabab
Sat Feb 02 2019,Al-Qadsiah,2-0,Al-Fayha
Sat Feb 02 2019,Al-Batin,1-2,Al-Ahli
Sat Feb 02 2019,Al-Taawoun,3-1,Al-Nassr
Sun Feb 03 2019,Al-Faisaly,1-2,Al-Hazem
Sun Feb 03 2019,Ohod,2-1,Al-Ettifaq
Mon Feb 04 2019,Al-Hilal,4-1,Al-Fateh
Mon Feb 04 2019,Al-Shabab,1-1,Al-Raed
Mon Feb 04 2019,Al-Wehda,0-2,Al-Ittihad
Wed Feb 06 2019,Al-Nassr,3-1,Al-Qadsiah
Thu Feb 07 2019,Ohod,4-1,Al-Faisaly
Thu Feb 07 2019,Al-Hazem,2-4,Al-Ahli
Fri Feb 08 2019,Al-Fayha,1-1,Al-Ettifaq
Fri Feb 08 2019,Al-Batin,2-3,Al-Hilal
Sat Feb 09 2019,Al-Raed,1-3,Al-Wehda
Sat Feb 09 2019,Al-Fateh,1-0,Al-Shabab
Sat Feb 09 2019,Al-Ittihad,0-0,Al-Taawoun
Tue Feb 12 2019,Al-Hilal,4-1,Al-Qadsiah
Tue Feb 12 2019,Al-Ahli,1-2,Al-Nassr
Wed Feb 13 2019,Al-Hazem,1-0,Al-Batin
Wed Feb 13 2019,Al-Ettifaq,3-4,Al-Faisaly
Thu Feb 14 2019,Al-Fayha,1-2,Al-Fateh
Thu Feb 14 2019,Al-Taawoun,4-0,Ohod
Fri Feb 15 2019,Al-Shabab,1-0,Al-Wehda
Fri Feb 15 2019,Al-Raed,1-1,Al-Ittihad
Wed Feb 20 2019,Al-Fateh,2-1,Al-Ahli
Thu Feb 21 2019,Al-Hazem,1-1,Al-Ettifaq
Thu Feb 21 2019,Al-Ittihad,0-2,Al-Hilal
Fri Feb 22 2019,Al-Taawoun,4-1,Al-Batin
Fri Feb 22 2019,Al-Qadsiah,0-1,Al-Shabab
Fri Feb 22 2019,Al-Wehda,4-1,Ohod
Sat Feb 23 2019,Al-Raed,0-3,Al-Faisaly
Sat Feb 23 2019,Al-Nassr,1-0,Al-Fayha
Thu Feb 28 2019,Al-Taawoun,4-1,Al-Ettifaq
Thu Feb 28 2019,Ohod,0-0,Al-Fateh
Thu Feb 28 2019,Al-Shabab,0-1,Al-Nassr
