Date,Team 1,FT,Team 2
Thu Aug 22 2019,Al-Nassr,2-0,Damac
Thu Aug 22 2019,Al-Ahli,1-1,Al-Adalah
Fri Aug 23 2019,Al-Hilal,4-2,Abha
Fri Aug 23 2019,Al-Taawoun,1-1,Al-Hazem
Fri Aug 23 2019,Al-Ittihad,3-1,Al-Raed
Sat Aug 24 2019,Al-Fateh,1-2,Al-Shabab
Sat Aug 24 2019,Al-Faisaly,0-0,Al-Fayha
Sat Aug 24 2019,Al-Wehda,0-2,Al-Ettifaq
Thu Aug 29 2019,Al-Adalah,4-0,Damac
Thu Aug 29 2019,Al-Fayha,2-1,Al-Hazem
Fri Aug 30 2019,Al-Shabab,0-0,Al-Faisaly
Fri Aug 30 2019,Al-Fateh,0-1,Al-Nassr
Fri Aug 30 2019,Al-Wehda,1-2,Abha
Sat Aug 31 2019,Al-Ettifaq,1-2,Al-Ahli
Sat Aug 31 2019,Al-Raed,0-5,Al-Hilal
Fri Sep 13 2019,Al-Taawoun,3-2,Al-Adalah
Fri Sep 13 2019,Damac,2-1,Al-Ittihad
Fri Sep 13 2019,Al-Nassr,0-0,Al-Shabab
Sat Sep 14 2019,Al-Hilal,1-1,Al-Fayha
Sat Sep 14 2019,Abha,1-1,Al-Raed
Sat Sep 14 2019,Al-Ahli,1-2,Al-Wehda
Sun Sep 15 2019,Al-Hazem,0-6,Al-Ettifaq
Sun Sep 15 2019,Al-Faisaly,3-2,Al-Fateh
Thu Sep 19 2019,Damac,1-1,Al-Shabab
Fri Sep 20 2019,Al-Adalah,2-1,Abha
Fri Sep 20 2019,Al-Fayha,0-1,Al-Wehda
Fri Sep 20 2019,Al-Nassr,0-1,Al-Hazem
Sat Sep 21 2019,Al-Ettifaq,0-1,Al-Faisaly
Sat Sep 21 2019,Al-Fateh,0-2,Al-Ahli
Sat Sep 21 2019,Al-Ittihad,1-3,Al-Hilal
Thu Sep 26 2019,Abha,1-0,Al-Ettifaq
Thu Sep 26 2019,Al-Hilal,2-1,Al-Taawoun
Fri Sep 27 2019,Al-Shabab,1-2,Al-Ittihad
Fri Sep 27 2019,Al-Ahli,0-0,Al-Nassr
Fri Sep 27 2019,Al-Wehda,2-0,Al-Fateh
Sat Sep 28 2019,Al-Faisaly,3-1,Al-Adalah
Sat Sep 28 2019,Al-Hazem,4-0,Damac
Sat Sep 28 2019,Al-Raed,2-0,Al-Fayha
Tue Oct 01 2019,Al-Ittihad,3-1,Al-Taawoun
Thu Oct 03 2019,Damac,0-1,Al-Wehda
Fri Oct 04 2019,Al-Fateh,2-2,Al-Raed
Fri Oct 04 2019,Al-Ittihad,1-2,Al-Hazem
Sat Oct 05 2019,Al-Ettifaq,1-4,Al-Hilal
Sat Oct 05 2019,Al-Adalah,0-1,Al-Shabab
Sat Oct 05 2019,Al-Fayha,0-3,Al-Ahli
Sat Oct 05 2019,Al-Taawoun,1-0,Abha
Fri Oct 18 2019,Al-Adalah,3-5,Al-Fateh
Fri Oct 18 2019,Al-Hilal,3-0,Damac
Fri Oct 18 2019,Al-Ahli,3-1,Al-Taawoun
Sat Oct 19 2019,Al-Shabab,2-1,Al-Ettifaq
Sat Oct 19 2019,Al-Raed,0-2,Al-Nassr
Sat Oct 19 2019,Al-Wehda,1-0,Al-Ittihad
Sun Oct 20 2019,Abha,1-1,Al-Fayha
Sun Oct 20 2019,Al-Faisaly,1-0,Al-Hazem
Thu Oct 24 2019,Al-Ettifaq,1-0,Al-Adalah
Thu Oct 24 2019,Al-Shabab,2-0,Al-Wehda
Fri Oct 25 2019,Al-Fayha,3-1,Al-Fateh
Fri Oct 25 2019,Damac,0-1,Al-Raed
Sat Oct 26 2019,Al-Taawoun,2-1,Al-Faisaly
Sat Oct 26 2019,Al-Hazem,2-1,Al-Ahli
Sun Oct 27 2019,Al-Ittihad,1-2,Abha
Sun Oct 27 2019,Al-Hilal,1-2,Al-Nassr
Thu Oct 31 2019,Al-Fayha,1-1,Al-Ettifaq
Thu Oct 31 2019,Al-Ahli,2-1,Al-Ittihad
Thu Oct 31 2019,Al-Fateh,3-3,Al-Hilal
Fri Nov 01 2019,Al-Faisaly,2-0,Damac
Fri Nov 01 2019,Al-Raed,3-2,Al-Wehda
Sat Nov 02 2019,Al-Adalah,2-2,Al-Hazem
Sat Nov 02 2019,Al-Taawoun,3-1,Al-Shabab
Sat Nov 02 2019,Al-Nassr,4-0,Abha
Wed Nov 06 2019,Al-Raed,0-3,Al-Taawoun
Wed Nov 06 2019,Al-Nassr,2-0,Al-Faisaly
Fri Nov 22 2019,Abha,3-1,Al-Fateh
Fri Nov 22 2019,Al-Hazem,2-3,Al-Raed
Fri Nov 22 2019,Al-Shabab,0-1,Al-Fayha
Sat Nov 23 2019,Damac,1-2,Al-Taawoun
Sat Nov 23 2019,Al-Ahli,3-1,Al-Faisaly
