Date,Team 1,FT,Team 2
Sun Nov 24 2019,Al-Ettifaq,1-2,Al-Ittihad
Sun Nov 24 2019,Al-Wehda,1-0,Al-Nassr
Thu Dec 12 2019,Al-Hazem,2-3,Abha
Thu Dec 12 2019,Al-Shabab,3-4,Al-Raed
Thu Dec 12 2019,Al-Wehda,2-0,Al-Adalah
Fri Dec 13 2019,Al-Ettifaq,1-0,Al-Fateh
Fri Dec 13 2019,Al-Nassr,2-1,Al-Taawoun
Sat Dec 14 2019,Damac,2-1,Al-Fayha
Sat Dec 14 2019,Al-Ittihad,1-2,Al-Faisaly
Thu Dec 19 2019,Al-Fayha,4-1,Al-Ittihad
Thu Dec 19 2019,Abha,2-0,Al-Shabab
Thu Dec 19 2019,Al-Adalah,0-3,Al-Nassr
Thu Dec 19 2019,Al-Taawoun,2-1,Al-Wehda
Thu Dec 19 2019,Al-Ahli,5-1,Damac
Fri Dec 20 2019,Al-Fateh,2-1,Al-Hazem
Sat Dec 21 2019,Al-Raed,3-2,Al-Ettifaq
Thu Dec 26 2019,Al-Raed,1-0,Al-Adalah
Thu Dec 26 2019,Al-Hazem,1-1,Al-Hilal
Fri Dec 27 2019,Al-Wehda,1-0,Al-Faisaly
Sat Dec 28 2019,Al-Fayha,1-4,Al-Nassr
Sat Dec 28 2019,Abha,3-2,Damac
Sat Dec 28 2019,Al-Ettifaq,1-0,Al-Taawoun
Sat Dec 28 2019,Al-Shabab,1-0,Al-Ahli
Sat Dec 28 2019,Al-Ittihad,1-1,Al-Fateh
Mon Dec 30 2019,Al-Hilal,7-0,Al-Adalah
Tue Jan 07 2020,Al-Hilal,3-1,Al-Ahli
Thu Jan 09 2020,Al-Adalah,1-1,Al-Fayha
Fri Jan 10 2020,Al-Hazem,0-1,Al-Shabab
Fri Jan 10 2020,Al-Taawoun,2-1,Al-Fateh
Fri Jan 10 2020,Al-Nassr,1-1,Al-Ittihad
Sat Jan 11 2020,Damac,2-2,Al-Ettifaq
Sat Jan 11 2020,Al-Faisaly,0-1,Al-Raed
Sat Jan 11 2020,Al-Hilal,3-1,Al-Wehda
Mon Jan 13 2020,Al-Ahli,3-1,Abha
Mon Jan 20 2020,Al-Faisaly,2-2,Al-Hilal
Thu Jan 23 2020,Al-Fateh,0-0,Damac
Thu Jan 23 2020,Al-Raed,1-2,Al-Ahli
Fri Jan 24 2020,Al-Fayha,2-2,Al-Taawoun
Fri Jan 24 2020,Al-Ettifaq,0-1,Al-Nassr
Fri Jan 24 2020,Al-Wehda,5-1,Al-Hazem
Sat Jan 25 2020,Abha,0-1,Al-Faisaly
Sat Jan 25 2020,Al-Shabab,0-0,Al-Hilal
Sat Jan 25 2020,Al-Ittihad,0-0,Al-Adalah
Thu Jan 30 2020,Damac,1-1,Al-Nassr
Thu Jan 30 2020,Al-Ettifaq,3-1,Al-Wehda
Fri Jan 31 2020,Abha,1-2,Al-Hilal
Fri Jan 31 2020,Al-Hazem,0-0,Al-Taawoun
Fri Jan 31 2020,Al-Raed,1-1,Al-Ittihad
Sat Feb 01 2020,Al-Adalah,1-1,Al-Ahli
Sat Feb 01 2020,Al-Shabab,2-1,Al-Fateh
Sat Feb 01 2020,Al-Fayha,2-1,Al-Faisaly
Wed Feb 05 2020,Damac,1-1,Al-Adalah
Wed Feb 05 2020,Al-Taawoun,1-2,Al-Ittihad
Wed Feb 05 2020,Al-Hilal,3-1,Al-Raed
Thu Feb 06 2020,Al-Nassr,1-1,Al-Fateh
Thu Feb 06 2020,Al-Ahli,3-2,Al-Ettifaq
Fri Feb 07 2020,Abha,1-4,Al-Wehda
Fri Feb 07 2020,Al-Hazem,4-2,Al-Fayha
Fri Feb 07 2020,Al-Faisaly,2-1,Al-Shabab
Mon Feb 10 2020,Al-Ittihad,1-2,Damac
Thu Feb 13 2020,Al-Ettifaq,2-3,Al-Hazem
Thu Feb 13 2020,Al-Fayha,0-1,Al-Hilal
Fri Feb 14 2020,Al-Adalah,0-0,Al-Taawoun
Fri Feb 14 2020,Al-Shabab,2-4,Al-Nassr
Fri Feb 14 2020,Al-Wehda,2-0,Al-Ahli
Sat Feb 15 2020,Al-Raed,2-1,Abha
Sat Feb 15 2020,Al-Fateh,2-2,Al-Faisaly
Thu Feb 20 2020,Al-Shabab,3-2,Damac
Thu Feb 20 2020,Al-Wehda,0-2,Al-Fayha
Fri Feb 21 2020,Abha,2-2,Al-Adalah
Fri Feb 21 2020,Al-Faisaly,1-2,Al-Ettifaq
Fri Feb 21 2020,Al-Ahli,0-1,Al-Fateh
Sat Feb 22 2020,Al-Taawoun,1-1,Al-Raed
Sat Feb 22 2020,Al-Hazem,0-2,Al-Nassr
Sat Feb 22 2020,Al-Hilal,1-0,Al-Ittihad
Thu Feb 27 2020,Al-Taawoun,0-1,Al-Hilal
Thu Feb 27 2020,Al-Nassr,2-2,Al-Ahli
Fri Feb 28 2020,Damac,3-0,Al-Hazem
Fri Feb 28 2020,Al-Adalah,0-2,Al-Faisaly
Fri Feb 28 2020,Al-Fayha,3-1,Al-Raed
Sat Feb 29 2020,Al-Fateh,3-2,Al-Wehda
Sat Feb 29 2020,Al-Ettifaq,4-1,Abha
Sat Feb 29 2020,Al-Ittihad,5-1,Al-Shabab
Thu Mar 05 2020,Al-Hazem,1-1,Al-Ittihad
Thu Mar 05 2020,Al-Shabab,4-0,Al-Adalah
Fri Mar 06 2020,Al-Raed,0-0,Al-Fateh
Fri Mar 06 2020,Al-Wehda,3-2,Damac
Fri Mar 06 2020,Al-Ahli,1-0,Al-Fayha
Sat Mar 07 2020,Abha,2-1,Al-Taawoun
Sat Mar 07 2020,Al-Faisaly,3-2,Al-Nassr
Sat Mar 07 2020,Al-Hilal,1-0,Al-Ettifaq
Wed Mar 11 2020,Damac,1-1,Al-Hilal
Wed Mar 11 2020,Al-Ettifaq,1-0,Al-Shabab
Wed Mar 11 2020,Al-Fayha,0-2,Abha
Wed Mar 11 2020,Al-Taawoun,1-0,Al-Ahli
Wed Mar 11 2020,Al-Nassr,4-1,Al-Raed
Wed Mar 11 2020,Al-Ittihad,1-2,Al-Wehda
Thu Mar 12 2020,Al-Fateh,0-1,Al-Adalah
Fri Mar 13 2020,Al-Hazem,2-2,Al-Faisaly
Tue Aug 04 2020,Al-Fateh,2-0,Al-Fayha
Tue Aug 04 2020,Abha,2-1,Al-Ittihad
Tue Aug 04 2020,Al-Raed,3-0,Damac
Tue Aug 04 2020,Al-Faisaly,2-1,Al-Taawoun
Tue Aug 04 2020,Al-Ahli,4-2,Al-Hazem
Wed Aug 05 2020,Al-Wehda,0-3,Al-Shabab
Wed Aug 05 2020,Al-Adalah,0-1,Al-Ettifaq
Wed Aug 05 2020,Al-Nassr,1-4,Al-Hilal
Sun Aug 09 2020,Al-Ettifaq,3-2,Al-Fayha
Sun Aug 09 2020,Damac,2-1,Al-Faisaly
Sun Aug 09 2020,Al-Wehda,0-0,Al-Raed
Sun Aug 09 2020,Al-Ittihad,1-2,Al-Ahli
Mon Aug 10 2020,Al-Shabab,1-0,Al-Taawoun
Mon Aug 10 2020,Abha,0-2,Al-Nassr
Mon Aug 10 2020,Al-Hazem,1-2,Al-Adalah
Mon Aug 10 2020,Al-Hilal,2-1,Al-Fateh
Fri Aug 14 2020,Al-Fateh,2-1,Abha
Fri Aug 14 2020,Al-Fayha,1-1,Al-Shabab
Fri Aug 14 2020,Al-Raed,3-1,Al-Hazem
Fri Aug 14 2020,Al-Ittihad,1-0,Al-Ettifaq
Sat Aug 15 2020,Al-Adalah,0-4,Al-Hilal
Sat Aug 15 2020,Al-Faisaly,2-0,Al-Ahli
Sat Aug 15 2020,Al-Taawoun,0-2,Damac
Sat Aug 15 2020,Al-Nassr,1-0,Al-Wehda
Wed Aug 19 2020,Al-Fateh,1-1,Al-Ettifaq
Wed Aug 19 2020,Al-Faisaly,1-1,Al-Ittihad
Wed Aug 19 2020,Abha,0-2,Al-Hazem
Wed Aug 19 2020,Al-Raed,2-1,Al-Shabab
Thu Aug 20 2020,Al-Adalah,2-4,Al-Wehda
Thu Aug 20 2020,Al-Fayha,0-0,Damac
Thu Aug 20 2020,Al-Taawoun,1-4,Al-Nassr
Thu Aug 20 2020,Al-Ahli,2-1,Al-Hilal
Mon Aug 24 2020,Al-Ettifaq,4-0,Al-Raed
Mon Aug 24 2020,Al-Shabab,1-1,Abha
Mon Aug 24 2020,Al-Hazem,3-4,Al-Fateh
Mon Aug 24 2020,Al-Ittihad,4-1,Al-Fayha
Tue Aug 25 2020,Al-Hilal,2-0,Al-Faisaly
Tue Aug 25 2020,Damac,2-1,Al-Ahli
Tue Aug 25 2020,Al-Wehda,2-1,Al-Taawoun
Tue Aug 25 2020,Al-Nassr,6-1,Al-Adalah
Sat Aug 29 2020,Al-Adalah,1-1,Al-Raed
Sat Aug 29 2020,Damac,2-2,Abha
Sat Aug 29 2020,Al-Hilal,4-1,Al-Hazem
Sat Aug 29 2020,Al-Nassr,2-1,Al-Fayha
Sun Aug 30 2020,Al-Fateh,1-1,Al-Ittihad
Sun Aug 30 2020,Al-Faisaly,2-1,Al-Wehda
Sun Aug 30 2020,Al-Taawoun,0-1,Al-Ettifaq
Sun Aug 30 2020,Al-Ahli,1-1,Al-Shabab
Fri Sep 04 2020,Al-Shabab,1-0,Al-Hazem
Fri Sep 04 2020,Al-Fateh,1-0,Al-Taawoun
Fri Sep 04 2020,Al-Raed,2-1,Al-Faisaly
Fri Sep 04 2020,Al-Wehda,1-3,Al-Hilal
Fri Sep 04 2020,Abha,2-1,Al-Ahli
Fri Sep 04 2020,Al-Fayha,2-0,Al-Adalah
Fri Sep 04 2020,Al-Ettifaq,0-2,Damac
Fri Sep 04 2020,Al-Ittihad,1-1,Al-Nassr
Wed Sep 09 2020,Al-Ahli,2-0,Al-Raed
Wed Sep 09 2020,Damac,4-3,Al-Fateh
Wed Sep 09 2020,Al-Taawoun,1-0,Al-Fayha
Wed Sep 09 2020,Al-Adalah,0-2,Al-Ittihad
Wed Sep 09 2020,Al-Faisaly,2-1,Abha
Wed Sep 09 2020,Al-Hazem,0-2,Al-Wehda
Wed Sep 09 2020,Al-Hilal,2-1,Al-Shabab
Wed Sep 09 2020,Al-Nassr,3-2,Al-Ettifaq
