Date,Team 1,FT,Team 2
Thu Jan 07 2021,Abha,1-0,Al-Faisaly
Thu Jan 07 2021,Al-Wehda,0-0,Al-Fateh
Fri Jan 08 2021,Al-Batin,2-2,Al-Hilal
Fri Jan 08 2021,Al-Qadsiah,3-1,Al-Ahli
Fri Jan 08 2021,Al-Nassr,3-0,Al-Ain
Sat Jan 09 2021,Al-Taawoun,0-0,Al-Raed
Sat Jan 09 2021,Al-Shabab,1-0,Al-Ettifaq
Sat Jan 09 2021,Al-Ittihad,1-0,Damac
Thu Jan 14 2021,Al-Faisaly,2-2,Al-Qadsiah
Thu Jan 14 2021,Al-Ain,0-3,Al-Shabab
Thu Jan 14 2021,Al-Ettifaq,1-1,Al-Batin
Thu Jan 14 2021,Al-Fateh,1-2,Al-Taawoun
Thu Jan 14 2021,Al-Ittihad,0-1,Abha
Fri Jan 15 2021,Damac,0-0,Al-Wehda
Fri Jan 15 2021,Al-Raed,0-1,Al-Nassr
Fri Jan 15 2021,Al-Ahli,0-0,Al-Hilal
Tue Jan 19 2021,Al-Raed,2-3,Al-Ettifaq
Tue Jan 19 2021,Al-Ain,1-2,Al-Ittihad
Tue Jan 19 2021,Al-Qadsiah,1-1,Al-Fateh
Tue Jan 19 2021,Al-Shabab,1-1,Al-Faisaly
Tue Jan 19 2021,Al-Ahli,3-0,Abha
Wed Jan 20 2021,Damac,2-0,Al-Batin
Wed Jan 20 2021,Al-Hilal,2-0,Al-Taawoun
Wed Jan 20 2021,Al-Nassr,3-1,Al-Wehda
Sun Jan 24 2021,Abha,2-2,Al-Qadsiah
Sun Jan 24 2021,Al-Fateh,0-2,Al-Raed
Sun Jan 24 2021,Al-Ittihad,1-1,Al-Nassr
Sun Jan 24 2021,Al-Ettifaq,1-2,Al-Ahli
Mon Jan 25 2021,Al-Taawoun,3-1,Damac
Mon Jan 25 2021,Al-Faisaly,1-1,Al-Hilal
Mon Jan 25 2021,Al-Wehda,2-4,Al-Shabab
Tue Jan 26 2021,Al-Batin,2-1,Al-Ain
Sat Jan 30 2021,Al-Faisaly,0-0,Al-Taawoun
Sat Jan 30 2021,Abha,2-3,Al-Shabab
Sat Jan 30 2021,Al-Ettifaq,2-0,Al-Ittihad
Sun Jan 31 2021,Al-Raed,4-2,Damac
Sun Jan 31 2021,Al-Qadsiah,2-2,Al-Wehda
Sun Jan 31 2021,Al-Ahli,2-2,Al-Batin
Thu Feb 04 2021,Al-Ain,1-0,Al-Ettifaq
Thu Feb 04 2021,Al-Hilal,2-3,Abha
Thu Feb 04 2021,Al-Ittihad,4-1,Al-Fateh
Thu Feb 04 2021,Al-Nassr,3-0,Al-Taawoun
Fri Feb 05 2021,Al-Batin,0-2,Al-Faisaly
Fri Feb 05 2021,Al-Wehda,2-4,Al-Ahli
Sat Feb 06 2021,Damac,2-2,Al-Qadsiah
Sat Feb 06 2021,Al-Shabab,4-1,Al-Raed
Tue Feb 09 2021,Al-Ain,0-5,Al-Hilal
Tue Feb 09 2021,Al-Fateh,1-1,Al-Nassr
Thu Feb 11 2021,Al-Ettifaq,4-1,Abha
Thu Feb 11 2021,Al-Ahli,1-1,Al-Ittihad
Fri Feb 12 2021,Al-Faisaly,2-4,Al-Wehda
Fri Feb 12 2021,Al-Raed,1-2,Al-Batin
Sat Feb 13 2021,Al-Taawoun,0-2,Al-Qadsiah
Sat Feb 13 2021,Al-Fateh,3-2,Al-Ain
Sat Feb 13 2021,Al-Nassr,0-4,Al-Shabab
Sun Feb 14 2021,Damac,1-0,Al-Hilal
Wed Feb 17 2021,Al-Raed,1-3,Al-Wehda
Wed Feb 17 2021,Abha,1-2,Al-Batin
Wed Feb 17 2021,Al-Shabab,1-2,Al-Fateh
Wed Feb 17 2021,Al-Ahli,1-1,Al-Ain
Thu Feb 18 2021,Al-Faisaly,2-0,Damac
Thu Feb 18 2021,Al-Taawoun,1-2,Al-Ittihad
Thu Feb 18 2021,Al-Qadsiah,1-0,Al-Nassr
Thu Feb 18 2021,Al-Hilal,3-1,Al-Ettifaq
Mon Feb 22 2021,Abha,0-3,Al-Raed
Mon Feb 22 2021,Al-Wehda,0-2,Al-Taawoun
Mon Feb 22 2021,Al-Shabab,3-0,Al-Ahli
Tue Feb 23 2021,Al-Batin,2-2,Al-Qadsiah
Tue Feb 23 2021,Al-Ain,1-1,Damac
Tue Feb 23 2021,Al-Fateh,2-3,Al-Ettifaq
Tue Feb 23 2021,Al-Ittihad,1-3,Al-Faisaly
Tue Feb 23 2021,Al-Nassr,1-0,Al-Hilal
Sat Feb 27 2021,Al-Batin,3-0,Al-Wehda
Sat Feb 27 2021,Al-Ettifaq,0-3,Al-Taawoun
Sat Feb 27 2021,Al-Faisaly,2-1,Al-Ahli
Sun Feb 28 2021,Al-Raed,4-0,Al-Ain
Sun Feb 28 2021,Al-Qadsiah,1-4,Al-Ittihad
Sun Feb 28 2021,Al-Fateh,2-5,Al-Hilal
Sun Feb 28 2021,Al-Nassr,2-2,Abha
Mon Mar 01 2021,Damac,1-2,Al-Shabab
Thu Mar 04 2021,Al-Taawoun,2-2,Al-Batin
Fri Mar 05 2021,Abha,2-1,Al-Fateh
Fri Mar 05 2021,Al-Ain,1-1,Al-Faisaly
Fri Mar 05 2021,Al-Ettifaq,1-1,Al-Nassr
Fri Mar 05 2021,Al-Shabab,1-1,Al-Qadsiah
Fri Mar 05 2021,Al-Hilal,2-1,Al-Raed
Fri Mar 05 2021,Al-Ittihad,4-2,Al-Wehda
Sat Mar 06 2021,Al-Ahli,1-3,Damac
Wed Mar 10 2021,Al-Batin,0-2,Al-Fateh
Wed Mar 10 2021,Al-Qadsiah,3-3,Al-Ain
Wed Mar 10 2021,Al-Taawoun,1-0,Abha
Wed Mar 10 2021,Al-Faisaly,0-1,Al-Raed
Wed Mar 10 2021,Al-Ittihad,2-1,Al-Shabab
Thu Mar 11 2021,Damac,1-1,Al-Ettifaq
Thu Mar 11 2021,Al-Wehda,2-4,Al-Hilal
Thu Mar 11 2021,Al-Ahli,1-2,Al-Nassr
Mon Mar 15 2021,Al-Wehda,1-4,Abha
Sat Mar 20 2021,Al-Raed,1-1,Al-Ittihad
Sat Mar 20 2021,Al-Fateh,4-1,Al-Ahli
Sat Mar 20 2021,Al-Ettifaq,1-0,Al-Faisaly
Sat Mar 20 2021,Al-Shabab,1-3,Al-Taawoun
Sat Mar 20 2021,Al-Hilal,1-0,Al-Qadsiah
Sat Mar 20 2021,Al-Nassr,7-0,Al-Batin
Sun Mar 21 2021,Abha,3-4,Damac
Sun Mar 21 2021,Al-Ain,4-0,Al-Wehda
Thu Apr 08 2021,Al-Ahli,2-3,Al-Raed
Fri Apr 09 2021,Al-Taawoun,3-0,Al-Ain
Fri Apr 09 2021,Damac,3-2,Al-Nassr
Fri Apr 09 2021,Al-Ittihad,2-0,Al-Hilal
Sat Apr 10 2021,Al-Faisaly,2-3,Al-Fateh
Sat Apr 10 2021,Al-Batin,1-4,Al-Shabab
Sat Apr 10 2021,Al-Ettifaq,1-3,Al-Qadsiah
Thu Apr 15 2021,Abha,1-0,Al-Ain
Fri Apr 16 2021,Al-Qadsiah,0-1,Al-Raed
Fri Apr 16 2021,Al-Ittihad,0-0,Al-Batin
Sat Apr 17 2021,Al-Fateh,1-1,Damac
Sat Apr 17 2021,Al-Wehda,0-1,Al-Ettifaq
Sun Apr 25 2021,Al-Taawoun,3-4,Al-Fateh
Thu Apr 29 2021,Al-Qadsiah,1-2,Al-Faisaly
Wed May 05 2021,Al-Nassr,4-3,Al-Faisaly
Fri May 07 2021,Al-Shabab,1-5,Al-Hilal
Fri May 07 2021,Al-Taawoun,4-2,Al-Ahli
Fri May 14 2021,Al-Ettifaq,4-3,Al-Shabab
Fri May 14 2021,Al-Faisaly,2-1,Abha
Fri May 14 2021,Al-Ain,0-2,Al-Nassr
Fri May 14 2021,Al-Hilal,1-1,Al-Batin
Fri May 14 2021,Al-Ahli,1-0,Al-Qadsiah
Sat May 15 2021,Al-Fateh,2-3,Al-Wehda
Sat May 15 2021,Al-Raed,1-2,Al-Taawoun
Sat May 15 2021,Damac,1-1,Al-Ittihad
Wed May 19 2021,Al-Shabab,5-1,Al-Ain
Wed May 19 2021,Al-Batin,3-2,Al-Ettifaq
Wed May 19 2021,Al-Hilal,5-1,Al-Ahli
Thu May 20 2021,Abha,1-2,Al-Ittihad
Thu May 20 2021,Al-Wehda,1-1,Damac
Thu May 20 2021,Al-Nassr,3-1,Al-Raed
Sun May 23 2021,Al-Taawoun,0-1,Al-Hilal
Sun May 23 2021,Al-Faisaly,1-5,Al-Shabab
Tue May 25 2021,Al-Ettifaq,3-1,Al-Raed
Tue May 25 2021,Al-Ittihad,1-0,Al-Ain
Tue May 25 2021,Al-Wehda,1-1,Al-Nassr
Tue May 25 2021,Al-Fateh,3-0,Al-Qadsiah
Tue May 25 2021,Abha,1-1,Al-Ahli
Wed May 26 2021,Al-Batin,0-2,Damac
Sun May 30 2021,Al-Nassr,1-2,Al-Ittihad
Sun May 30 2021,Al-Ain,3-4,Al-Batin
Sun May 30 2021,Al-Hilal,3-2,Al-Faisaly
Sun May 30 2021,Al-Ahli,1-2,Al-Ettifaq
Sun May 30 2021,Al-Raed,2-2,Al-Fateh
Sun May 30 2021,Al-Qadsiah,1-1,Abha
Sun May 30 2021,Damac,2-0,Al-Taawoun
Sun May 30 2021,Al-Shabab,3-0,Al-Wehda
