Date,Team 1,FT,Team 2
Thu Oct 28 2021,Al-Shabab,3-0,Al-Ta'ee
Fri Oct 29 2021,Al-Raed,1-0,Al-Batin
Fri Oct 29 2021,Al-Ahli,1-1,Al-Hilal
Sat Oct 30 2021,Al-Ettifaq,0-1,Damac
Sat Oct 30 2021,Al-Taawoun,2-0,Abha
Sat Oct 30 2021,Al-Fayha,1-1,Al-Nassr
Wed Nov 03 2021,Al-Raed,4-0,Al-Ta'ee
Wed Nov 03 2021,Al-Ahli,1-0,Al-Batin
Thu Nov 04 2021,Al-Hilal,2-0,Damac
Thu Nov 04 2021,Al-Faisaly,1-0,Abha
Thu Nov 04 2021,Al-Ettifaq,1-3,Al-Taawoun
Thu Nov 04 2021,Al-Ittihad,3-0,Al-Fateh
Fri Nov 05 2021,Al-Shabab,1-0,Al-Nassr
Fri Nov 05 2021,Al-Fayha,1-0,Al-Hazem
Sat Nov 20 2021,Al-Ta'ee,1-0,Al-Fateh
Sat Nov 20 2021,Damac,1-0,Al-Fayha
Sat Nov 20 2021,Al-Faisaly,0-0,Al-Shabab
Sat Nov 20 2021,Al-Nassr,2-2,Al-Raed
Sun Nov 21 2021,Al-Hazem,0-3,Al-Ettifaq
Sun Nov 21 2021,Abha,2-0,Al-Ahli
Sun Nov 21 2021,Al-Batin,3-2,Al-Taawoun
Thu Nov 25 2021,Al-Fateh,5-5,Damac
Thu Nov 25 2021,Al-Shabab,3-0,Al-Raed
Fri Nov 26 2021,Al-Taawoun,1-1,Al-Fayha
Fri Nov 26 2021,Al-Ahli,1-2,Al-Nassr
Sat Nov 27 2021,Al-Batin,0-0,Al-Hazem
Sat Nov 27 2021,Al-Ettifaq,1-0,Al-Faisaly
Sat Nov 27 2021,Al-Ittihad,1-0,Al-Ta'ee
Sun Nov 28 2021,Abha,1-1,Al-Hilal
Fri Dec 10 2021,Al-Ta'ee,2-1,Al-Nassr
Fri Dec 10 2021,Al-Hilal,0-0,Al-Fayha
Thu Dec 16 2021,Al-Hilal,0-2,Al-Nassr
Sat Dec 25 2021,Damac,1-1,Al-Batin
Sat Dec 25 2021,Al-Hilal,2-3,Al-Fateh
Sat Dec 25 2021,Al-Fayha,0-0,Abha
Sun Dec 26 2021,Al-Ta'ee,3-1,Al-Faisaly
Sun Dec 26 2021,Al-Nassr,2-1,Al-Hazem
Sun Dec 26 2021,Al-Ittihad,3-2,Al-Ettifaq
Mon Dec 27 2021,Al-Raed,1-0,Al-Ahli
Mon Dec 27 2021,Al-Shabab,3-1,Al-Taawoun
Fri Dec 31 2021,Al-Batin,2-3,Al-Ittihad
Fri Dec 31 2021,Al-Hazem,0-1,Al-Ta'ee
Fri Dec 31 2021,Al-Ettifaq,1-1,Al-Fayha
Fri Dec 31 2021,Al-Faisaly,2-3,Al-Hilal
Sat Jan 01 2022,Al-Taawoun,3-0,Damac
Sat Jan 01 2022,Abha,1-0,Al-Raed
Sat Jan 01 2022,Al-Fateh,0-1,Al-Nassr
Sat Jan 01 2022,Al-Ahli,3-4,Al-Shabab
Fri Jan 07 2022,Al-Batin,0-0,Al-Ettifaq
Fri Jan 07 2022,Al-Taawoun,2-1,Al-Hazem
Fri Jan 07 2022,Al-Ittihad,2-0,Al-Fayha
Sat Jan 08 2022,Damac,0-2,Al-Nassr
Sat Jan 08 2022,Al-Fateh,2-3,Al-Raed
Sat Jan 08 2022,Al-Shabab,1-1,Abha
Tue Jan 11 2022,Al-Ta'ee,0-4,Al-Hilal
Tue Jan 11 2022,Al-Faisaly,2-2,Al-Ahli
Thu Jan 13 2022,Al-Fayha,0-0,Al-Fateh
Fri Jan 14 2022,Al-Raed,1-2,Al-Ittihad
Fri Jan 14 2022,Abha,1-0,Al-Batin
Fri Jan 14 2022,Al-Ettifaq,2-2,Al-Shabab
Sat Jan 15 2022,Al-Ta'ee,1-2,Damac
Sat Jan 15 2022,Al-Nassr,4-0,Al-Faisaly
Sat Jan 15 2022,Al-Hilal,3-2,Al-Taawoun
Sat Jan 15 2022,Al-Ahli,1-0,Al-Hazem
Thu Jan 20 2022,Al-Ettifaq,1-2,Abha
Thu Jan 20 2022,Al-Shabab,1-1,Al-Fateh
Fri Jan 21 2022,Al-Batin,1-1,Al-Hilal
Fri Jan 21 2022,Al-Taawoun,0-1,Al-Nassr
Fri Jan 21 2022,Damac,1-1,Al-Ahli
Fri Jan 21 2022,Al-Ittihad,1-0,Al-Faisaly
Sat Jan 22 2022,Al-Fayha,2-0,Al-Ta'ee
Sat Jan 22 2022,Al-Hazem,2-0,Al-Raed
Sat Feb 05 2022,Al-Raed,1-1,Al-Ettifaq
Sat Feb 05 2022,Al-Hazem,1-2,Al-Shabab
Sat Feb 05 2022,Al-Faisaly,3-0,Damac
Sat Feb 05 2022,Al-Ahli,1-1,Al-Taawoun
Sun Feb 06 2022,Abha,0-4,Al-Ittihad
Sun Feb 06 2022,Al-Fateh,2-3,Al-Batin
Sun Feb 06 2022,Al-Nassr,4-1,Al-Ta'ee
Thu Feb 10 2022,Al-Shabab,2-1,Damac
Thu Feb 10 2022,Al-Fayha,0-0,Al-Faisaly
Fri Feb 11 2022,Abha,2-1,Al-Hazem
Fri Feb 11 2022,Al-Fateh,0-1,Al-Ahli
Fri Feb 11 2022,Al-Ittihad,3-0,Al-Nassr
Sat Feb 12 2022,Al-Ta'ee,3-1,Al-Batin
Sat Feb 12 2022,Al-Raed,0-3,Al-Taawoun
Thu Feb 17 2022,Al-Batin,3-4,Al-Nassr
Thu Feb 17 2022,Al-Taawoun,1-1,Al-Ittihad
Thu Feb 17 2022,Al-Ahli,1-1,Al-Fayha
Thu Feb 17 2022,Al-Hilal,5-0,Al-Shabab
Fri Feb 18 2022,Al-Hazem,0-1,Al-Fateh
Fri Feb 18 2022,Al-Faisaly,0-0,Al-Raed
Sat Feb 19 2022,Damac,3-2,Abha
Sat Feb 19 2022,Al-Ettifaq,0-1,Al-Ta'ee
Tue Feb 22 2022,Al-Fateh,4-1,Al-Faisaly
Sat Feb 26 2022,Damac,3-2,Al-Raed
Sat Feb 26 2022,Al-Hilal,2-0,Al-Hazem
Sat Feb 26 2022,Al-Nassr,2-1,Abha
Sat Feb 26 2022,Al-Ahli,3-4,Al-Ittihad
Sun Feb 27 2022,Al-Batin,1-0,Al-Faisaly
Sun Feb 27 2022,Al-Ta'ee,1-1,Al-Taawoun
Sun Feb 27 2022,Al-Fateh,4-0,Al-Ettifaq
Sun Feb 27 2022,Al-Fayha,1-2,Al-Shabab
Thu Mar 03 2022,Al-Ittihad,2-1,Damac
Thu Mar 03 2022,Al-Nassr,0-4,Al-Hilal
Fri Mar 04 2022,Abha,1-0,Al-Ta'ee
Fri Mar 04 2022,Al-Taawoun,1-1,Al-Fateh
Fri Mar 04 2022,Al-Ettifaq,1-0,Al-Ahli
Sat Mar 05 2022,Al-Faisaly,1-0,Al-Hazem
Sat Mar 05 2022,Al-Raed,1-0,Al-Fayha
Sat Mar 05 2022,Al-Shabab,4-0,Al-Batin
Tue Mar 08 2022,Al-Hilal,2-1,Al-Ittihad
Thu Mar 10 2022,Al-Fateh,3-0,Abha
Thu Mar 10 2022,Al-Taawoun,2-2,Al-Faisaly
Fri Mar 11 2022,Al-Fayha,1-0,Al-Batin
Fri Mar 11 2022,Al-Ettifaq,2-2,Al-Nassr
Sat Mar 12 2022,Al-Hazem,0-1,Damac
Sat Mar 12 2022,Al-Ahli,3-1,Al-Ta'ee
Sun Mar 13 2022,Al-Raed,0-1,Al-Hilal
Sun Mar 13 2022,Al-Shabab,0-2,Al-Ittihad
Thu Mar 17 2022,Al-Faisaly,1-0,Al-Fateh
Thu Mar 17 2022,Damac,1-0,Al-Ettifaq
Thu Mar 17 2022,Al-Nassr,1-0,Al-Fayha
Fri Mar 18 2022,Al-Ta'ee,2-2,Al-Shabab
Fri Mar 18 2022,Al-Ittihad,3-0,Al-Hazem
Fri Mar 18 2022,Al-Hilal,4-2,Al-Ahli
Sat Mar 19 2022,Al-Batin,2-0,Al-Raed
Sat Mar 19 2022,Abha,1-1,Al-Taawoun
Tue May 03 2022,Al-Fayha,1-0,Al-Hilal
Thu May 05 2022,Al-Taawoun,0-4,Al-Ettifaq
Thu May 05 2022,Al-Batin,2-2,Al-Ahli
Fri May 06 2022,Al-Fateh,4-4,Al-Ittihad
Fri May 06 2022,Abha,0-0,Al-Faisaly
Fri May 06 2022,Al-Nassr,4-2,Al-Shabab
Sat May 07 2022,Damac,2-4,Al-Hilal
Sat May 07 2022,Al-Hazem,3-1,Al-Fayha
Sat May 07 2022,Al-Ta'ee,2-2,Al-Raed
Wed May 11 2022,Al-Ettifaq,0-2,Al-Hilal
Thu May 12 2022,Al-Taawoun,1-0,Al-Batin
Thu May 12 2022,Al-Shabab,1-0,Al-Faisaly
Sat May 21 2022,Al-Ettifaq,5-2,Al-Hazem
Sat May 21 2022,Al-Raed,0-3,Al-Nassr
Sun May 22 2022,Al-Fateh,1-2,Al-Ta'ee
Sun May 22 2022,Al-Ahli,1-1,Abha
Mon May 23 2022,Al-Fayha,0-0,Damac
Mon May 23 2022,Al-Ittihad,1-3,Al-Hilal
Fri May 27 2022,Al-Hazem,2-3,Al-Batin
Fri May 27 2022,Al-Raed,0-2,Al-Shabab
Sat May 28 2022,Al-Nassr,1-1,Al-Ahli
Sat May 28 2022,Al-Faisaly,1-1,Al-Ettifaq
Sun May 29 2022,Damac,0-3,Al-Fateh
Sun May 29 2022,Al-Fayha,0-1,Al-Taawoun
Sun May 29 2022,Al-Ta'ee,1-0,Al-Ittihad
Sun May 29 2022,Al-Hilal,2-0,Abha
Thu Jun 23 2022,Al-Batin,2-1,Damac
Thu Jun 23 2022,Abha,0-0,Al-Fayha
Thu Jun 23 2022,Al-Faisaly,1-0,Al-Ta'ee
Thu Jun 23 2022,Al-Taawoun,1-1,Al-Shabab
Thu Jun 23 2022,Al-Ahli,1-3,Al-Raed
Thu Jun 23 2022,Al-Hazem,1-4,Al-Nassr
Thu Jun 23 2022,Al-Fateh,0-3,Al-Hilal
Thu Jun 23 2022,Al-Ettifaq,1-3,Al-Ittihad
Mon Jun 27 2022,Al-Fayha,0-1,Al-Ettifaq
Mon Jun 27 2022,Al-Hilal,2-1,Al-Faisaly
Mon Jun 27 2022,Al-Ittihad,0-0,Al-Batin
Mon Jun 27 2022,Al-Ta'ee,3-0,Al-Hazem
Mon Jun 27 2022,Damac,1-1,Al-Taawoun
Mon Jun 27 2022,Al-Nassr,2-1,Al-Fateh
Mon Jun 27 2022,Al-Raed,1-0,Abha
Mon Jun 27 2022,Al-Shabab,0-0,Al-Ahli
