Date,Team 1,FT,Team 2
Wed Aug 11 2021,Al-Fayha,1-0,Al-Ittihad
Thu Aug 12 2021,Abha,2-1,Al-Shabab
Thu Aug 12 2021,Al-Raed,1-0,Al-Fateh
Thu Aug 12 2021,Al-Hazem,3-3,Al-Taawoun
Fri Aug 13 2021,Al-Nassr,4-1,Damac
Fri Aug 13 2021,Al-Ahli,1-1,Al-Faisaly
Sat Aug 14 2021,Al-Ettifaq,2-1,Al-Batin
Sat Aug 14 2021,Al-Hilal,1-0,Al-Ta'ee
Mon Aug 16 2021,Al-Ittihad,3-0,Al-Raed
Thu Aug 19 2021,Al-Hazem,2-2,Al-Ahli
Thu Aug 19 2021,Al-Faisaly,2-1,Al-Nassr
Fri Aug 20 2021,Al-Batin,2-1,Abha
Fri Aug 20 2021,Damac,1-0,Al-Ta'ee
Fri Aug 20 2021,Al-Taawoun,1-2,Al-Hilal
Sat Aug 21 2021,Al-Fateh,1-1,Al-Fayha
Sat Aug 21 2021,Al-Shabab,3-3,Al-Ettifaq
Wed Aug 25 2021,Al-Raed,2-0,Al-Hazem
Wed Aug 25 2021,Al-Ahli,1-1,Damac
Thu Aug 26 2021,Al-Fateh,2-0,Al-Shabab
Thu Aug 26 2021,Abha,1-1,Al-Ettifaq
Thu Aug 26 2021,Al-Nassr,3-1,Al-Taawoun
Fri Aug 27 2021,Al-Faisaly,1-2,Al-Ittihad
Fri Aug 27 2021,Al-Ta'ee,1-3,Al-Fayha
Fri Aug 27 2021,Al-Hilal,0-0,Al-Batin
Sat Sep 11 2021,Damac,2-0,Al-Faisaly
Sat Sep 11 2021,Al-Ittihad,6-1,Abha
Sun Sep 12 2021,Al-Ettifaq,2-2,Al-Raed
Sun Sep 12 2021,Al-Batin,0-2,Al-Fateh
Sun Sep 12 2021,Al-Taawoun,1-1,Al-Ahli
Sun Sep 12 2021,Al-Shabab,2-0,Al-Hazem
Thu Sep 16 2021,Al-Batin,0-0,Al-Ta'ee
Thu Sep 16 2021,Al-Faisaly,2-1,Al-Fayha
Fri Sep 17 2021,Damac,1-1,Al-Shabab
Fri Sep 17 2021,Al-Taawoun,3-5,Al-Raed
Fri Sep 17 2021,Al-Ahli,1-1,Al-Fateh
Sat Sep 18 2021,Al-Hilal,3-2,Al-Ettifaq
Sat Sep 18 2021,Al-Hazem,2-0,Abha
Sat Sep 18 2021,Al-Nassr,1-3,Al-Ittihad
Thu Sep 23 2021,Al-Nassr,1-0,Al-Batin
Thu Sep 23 2021,Al-Fayha,2-0,Al-Ahli
Thu Sep 23 2021,Al-Ta'ee,4-2,Al-Ettifaq
Thu Sep 23 2021,Al-Shabab,2-2,Al-Hilal
Fri Sep 24 2021,Abha,1-3,Damac
Fri Sep 24 2021,Al-Ittihad,1-1,Al-Taawoun
Sat Sep 25 2021,Al-Fateh,0-1,Al-Hazem
Sat Sep 25 2021,Al-Raed,1-1,Al-Faisaly
Thu Sep 30 2021,Al-Raed,0-2,Damac
Thu Sep 30 2021,Abha,1-3,Al-Nassr
Thu Sep 30 2021,Al-Ettifaq,0-0,Al-Fateh
Thu Sep 30 2021,Al-Hazem,1-1,Al-Hilal
Fri Oct 01 2021,Al-Shabab,2-1,Al-Fayha
Fri Oct 01 2021,Al-Faisaly,2-2,Al-Batin
Fri Oct 01 2021,Al-Ittihad,2-0,Al-Ahli
Sat Oct 02 2021,Al-Taawoun,1-2,Al-Ta'ee
Sat Oct 16 2021,Al-Batin,0-3,Al-Shabab
Sat Oct 16 2021,Al-Fayha,1-0,Al-Raed
Sat Oct 16 2021,Al-Ta'ee,0-1,Abha
Sat Oct 16 2021,Al-Ahli,4-0,Al-Ettifaq
Sun Oct 17 2021,Al-Fateh,3-0,Al-Taawoun
Sun Oct 17 2021,Al-Hazem,0-0,Al-Faisaly
Sun Oct 17 2021,Damac,1-1,Al-Ittihad
Thu Oct 21 2021,Al-Batin,2-0,Al-Fayha
Thu Oct 21 2021,Al-Ta'ee,1-2,Al-Ahli
Fri Oct 22 2021,Al-Faisaly,2-2,Al-Taawoun
Fri Oct 22 2021,Damac,1-0,Al-Hazem
Fri Oct 22 2021,Al-Ittihad,0-2,Al-Shabab
Sat Oct 23 2021,Abha,3-1,Al-Fateh
Sat Oct 23 2021,Al-Hilal,3-2,Al-Raed
Sun Oct 24 2021,Al-Nassr,0-1,Al-Ettifaq
Thu Oct 28 2021,Al-Hazem,0-1,Al-Ittihad
