Date,Team 1,FT,Team 2
Thu Aug 25 2022,Al-Fayha,0-1,Damac
Thu Aug 25 2022,Al-Khaleej,0-2,Al-Hilal
Fri Aug 26 2022,Al-Adalah,0-3,Al-Ittihad
Fri Aug 26 2022,Al-Ettifaq,1-2,Al-Ta'ee
Fri Aug 26 2022,Al-Shabab,3-0,Al-Batin
Sat Aug 27 2022,Al-Fateh,0-2,Al-Taawoun
Sat Aug 27 2022,Al-Nassr,1-0,Al-Wehda
Sat Aug 27 2022,Abha,2-1,Al-Raed
Wed Aug 31 2022,Al-Batin,0-5,Al-Fateh
Wed Aug 31 2022,Al-Hilal,2-0,Al-Fayha
Thu Sep 01 2022,Al-Raed,1-0,Al-Wehda
Thu Sep 01 2022,Abha,0-4,Al-Shabab
Fri Sep 02 2022,Al-Ta'ee,1-0,Al-Adalah
Fri Sep 02 2022,Damac,2-1,Al-Khaleej
Sat Sep 03 2022,Al-Taawoun,1-0,Al-Nassr
Sat Sep 03 2022,Al-Ittihad,0-0,Al-Ettifaq
Sun Sep 04 2022,Al-Fateh,0-1,Al-Hilal
Thu Sep 08 2022,Al-Khaleej,0-0,Al-Adalah
Thu Sep 08 2022,Al-Wehda,1-0,Abha
Thu Sep 08 2022,Al-Shabab,4-0,Al-Ta'ee
Fri Sep 09 2022,Al-Ettifaq,3-0,Al-Batin
Fri Sep 09 2022,Al-Raed,0-1,Al-Ittihad
Sat Sep 10 2022,Al-Fayha,1-1,Al-Taawoun
Sat Sep 10 2022,Al-Nassr,2-1,Damac
Wed Sep 14 2022,Al-Ta'ee,1-0,Al-Fateh
Wed Sep 14 2022,Al-Adalah,0-1,Al-Shabab
Thu Sep 15 2022,Al-Batin,0-4,Al-Nassr
Thu Sep 15 2022,Al-Ittihad,2-0,Al-Khaleej
Thu Sep 15 2022,Al-Ettifaq,1-2,Al-Raed
Fri Sep 16 2022,Al-Taawoun,1-1,Damac
Fri Sep 16 2022,Abha,1-1,Al-Fayha
Fri Sep 16 2022,Al-Hilal,3-0,Al-Wehda
Sat Oct 01 2022,Damac,2-0,Al-Ta'ee
Sat Oct 01 2022,Al-Raed,2-1,Al-Adalah
Sat Oct 01 2022,Al-Khaleej,1-0,Al-Batin
Sat Oct 01 2022,Al-Wehda,1-1,Al-Ettifaq
Sun Oct 02 2022,Al-Fayha,1-2,Al-Shabab
Sun Oct 02 2022,Al-Hilal,1-2,Al-Taawoun
Sun Oct 02 2022,Al-Fateh,3-0,Abha
Sun Oct 02 2022,Al-Nassr,0-0,Al-Ittihad
Thu Oct 06 2022,Al-Taawoun,2-0,Al-Wehda
Thu Oct 06 2022,Al-Ta'ee,3-0,Al-Khaleej
