Date,Team 1,FT,Team 2
Thu Oct 06 2022,Al-Ettifaq,0-0,Al-Hilal
Thu Oct 06 2022,Al-Batin,2-2,Damac
Thu Oct 06 2022,Al-Shabab,1-0,Al-Raed
Fri Oct 07 2022,Abha,0-3,Al-Nassr
Fri Oct 07 2022,Al-Ittihad,3-1,Al-Fateh
Fri Oct 07 2022,Al-Adalah,2-1,Al-Fayha
Mon Oct 10 2022,Al-Raed,0-2,Al-Ta'ee
Mon Oct 10 2022,Al-Hilal,1-1,Al-Shabab
Mon Oct 10 2022,Al-Wehda,2-0,Al-Batin
Tue Oct 11 2022,Damac,1-1,Al-Ittihad
Tue Oct 11 2022,Al-Taawoun,1-3,Abha
Tue Oct 11 2022,Al-Nassr,4-1,Al-Adalah
Tue Oct 11 2022,Al-Fayha,0-3,Al-Ettifaq
Tue Oct 11 2022,Al-Khaleej,1-2,Al-Fateh
Sat Oct 15 2022,Al-Ta'ee,2-3,Al-Hilal
Sat Oct 15 2022,Al-Fateh,1-0,Al-Raed
Sat Oct 15 2022,Al-Shabab,4-0,Al-Khaleej
Sun Oct 16 2022,Al-Batin,1-3,Abha
Sun Oct 16 2022,Al-Nassr,4-0,Al-Fayha
Sun Oct 16 2022,Al-Ittihad,1-0,Al-Wehda
Sun Oct 16 2022,Al-Ettifaq,0-1,Al-Taawoun
Sun Oct 16 2022,Al-Adalah,0-2,Damac
Thu Dec 15 2022,Al-Khaleej,1-2,Al-Fayha
Thu Dec 15 2022,Damac,0-0,Al-Ettifaq
Thu Dec 15 2022,Al-Taawoun,4-1,Al-Adalah
Fri Dec 16 2022,Abha,2-1,Al-Ta'ee
Fri Dec 16 2022,Al-Raed,1-4,Al-Nassr
Fri Dec 16 2022,Al-Hilal,3-1,Al-Batin
Sun Dec 25 2022,Damac,0-0,Al-Wehda
Sun Dec 25 2022,Al-Adalah,0-2,Abha
Sun Dec 25 2022,Al-Ettifaq,1-0,Al-Khaleej
Mon Dec 26 2022,Al-Batin,1-2,Al-Raed
Mon Dec 26 2022,Al-Fateh,4-1,Al-Shabab
Mon Dec 26 2022,Al-Fayha,2-1,Al-Ta'ee
Mon Dec 26 2022,Al-Ittihad,3-0,Al-Taawoun
Mon Dec 26 2022,Al-Nassr,2-2,Al-Hilal
Fri Dec 30 2022,Al-Fateh,0-2,Al-Fayha
Fri Dec 30 2022,Al-Wehda,0-0,Al-Adalah
Fri Dec 30 2022,Al-Shabab,3-0,Al-Ettifaq
Sat Dec 31 2022,Abha,1-2,Al-Ittihad
Sat Dec 31 2022,Al-Ta'ee,4-0,Al-Batin
Sat Dec 31 2022,Al-Raed,2-3,Al-Taawoun
Sat Dec 31 2022,Al-Khaleej,0-1,Al-Nassr
Sat Dec 31 2022,Al-Hilal,2-2,Damac
Thu Jan 05 2023,Damac,1-2,Al-Raed
Thu Jan 05 2023,Al-Ittihad,0-1,Al-Hilal
Thu Jan 05 2023,Al-Wehda,2-1,Al-Shabab
Fri Jan 06 2023,Al-Nassr,2-0,Al-Ta'ee
Fri Jan 06 2023,Al-Taawoun,0-1,Al-Khaleej
Fri Jan 06 2023,Al-Adalah,2-1,Al-Fateh
Sat Jan 07 2023,Al-Fayha,2-2,Al-Batin
Sat Jan 07 2023,Al-Ettifaq,2-1,Abha
Mon Jan 09 2023,Al-Shabab,1-1,Al-Ittihad
Tue Jan 10 2023,Al-Raed,1-1,Al-Hilal
Thu Jan 12 2023,Al-Fateh,2-0,Al-Ettifaq
Thu Jan 12 2023,Al-Ta'ee,1-3,Al-Taawoun
Fri Jan 13 2023,Abha,2-1,Damac
Fri Jan 13 2023,Al-Khaleej,3-2,Al-Wehda
Sat Jan 14 2023,Al-Batin,1-2,Al-Ittihad
Sat Jan 14 2023,Al-Raed,2-4,Al-Fayha
Sat Jan 14 2023,Al-Shabab,0-0,Al-Nassr
Sun Jan 15 2023,Al-Hilal,2-0,Al-Adalah
Thu Jan 19 2023,Al-Adalah,1-1,Al-Batin
Thu Jan 19 2023,Al-Ittihad,3-0,Al-Fayha
Fri Jan 20 2023,Al-Khaleej,3-0,Al-Raed
Fri Jan 20 2023,Damac,3-1,Al-Fateh
Fri Jan 20 2023,Al-Taawoun,1-1,Al-Shabab
Sat Jan 21 2023,Al-Wehda,1-0,Al-Ta'ee
Sun Jan 22 2023,Al-Hilal,2-1,Abha
Sun Jan 22 2023,Al-Nassr,1-0,Al-Ettifaq
Fri Jan 27 2023,Al-Ta'ee,1-2,Al-Shabab
Fri Jan 27 2023,Al-Wehda,0-2,Al-Fateh
Thu Feb 02 2023,Abha,2-0,Al-Khaleej
Thu Feb 02 2023,Al-Batin,0-1,Al-Taawoun
Thu Feb 02 2023,Al-Shabab,2-1,Damac
Fri Feb 03 2023,Al-Fateh,2-2,Al-Nassr
Fri Feb 03 2023,Al-Ettifaq,3-2,Al-Adalah
Sat Feb 04 2023,Al-Ta'ee,0-1,Al-Ittihad
Sat Feb 04 2023,Al-Fayha,2-0,Al-Wehda
Thu Feb 09 2023,Al-Batin,2-4,Al-Shabab
Thu Feb 09 2023,Al-Taawoun,1-2,Al-Fateh
Thu Feb 09 2023,Al-Wehda,0-4,Al-Nassr
Fri Feb 10 2023,Al-Ta'ee,2-0,Al-Ettifaq
Fri Feb 10 2023,Damac,1-1,Al-Fayha
Fri Feb 10 2023,Al-Raed,3-1,Abha
Fri Feb 10 2023,Al-Ittihad,5-0,Al-Adalah
Tue Feb 14 2023,Al-Shabab,2-0,Abha
Thu Feb 16 2023,Al-Adalah,2-2,Al-Ta'ee
Thu Feb 16 2023,Al-Ettifaq,0-3,Al-Ittihad
Fri Feb 17 2023,Al-Nassr,2-1,Al-Taawoun
Fri Feb 17 2023,Al-Wehda,2-2,Al-Raed
Sat Feb 18 2023,Al-Fateh,2-0,Al-Batin
Sat Feb 18 2023,Al-Khaleej,2-0,Damac
Thu Feb 23 2023,Al-Taawoun,1-1,Al-Fayha
Thu Feb 23 2023,Al-Ittihad,0-0,Al-Raed
Fri Feb 24 2023,Abha,1-2,Al-Wehda
Fri Feb 24 2023,Al-Adalah,2-0,Al-Khaleej
Sat Feb 25 2023,Al-Batin,1-0,Al-Ettifaq
Sat Feb 25 2023,Damac,0-3,Al-Nassr
Thu Mar 02 2023,Al-Fateh,2-3,Al-Ta'ee
Thu Mar 02 2023,Al-Fayha,2-0,Abha
Thu Mar 02 2023,Al-Wehda,3-3,Al-Hilal
Fri Mar 03 2023,Al-Raed,1-2,Al-Ettifaq
Fri Mar 03 2023,Al-Khaleej,0-3,Al-Ittihad
Fri Mar 03 2023,Al-Nassr,3-1,Al-Batin
Sat Mar 04 2023,Damac,1-2,Al-Taawoun
Sat Mar 04 2023,Al-Shabab,1-2,Al-Adalah
Mon Mar 06 2023,Al-Hilal,1-2,Al-Fateh
Thu Mar 09 2023,Al-Batin,1-0,Al-Khaleej
Thu Mar 09 2023,Al-Ettifaq,1-1,Al-Wehda
Thu Mar 09 2023,Al-Shabab,3-2,Al-Fayha
Thu Mar 09 2023,Al-Ittihad,1-0,Al-Nassr
Fri Mar 10 2023,Abha,2-2,Al-Fateh
Fri Mar 10 2023,Al-Taawoun,0-4,Al-Hilal
Sat Mar 11 2023,Al-Ta'ee,1-3,Damac
Sat Mar 11 2023,Al-Adalah,0-3,Al-Raed
Thu Mar 16 2023,Al-Khaleej,2-2,Al-Ta'ee
Fri Mar 17 2023,Damac,1-0,Al-Batin
Fri Mar 17 2023,Al-Fayha,1-1,Al-Adalah
Fri Mar 17 2023,Al-Wehda,1-1,Al-Taawoun
Sat Mar 18 2023,Al-Fateh,1-5,Al-Ittihad
Sat Mar 18 2023,Al-Hilal,3-0,Al-Ettifaq
Sat Mar 18 2023,Al-Nassr,2-1,Abha
Sat Mar 18 2023,Al-Raed,2-2,Al-Shabab
Sat Apr 01 2023,Al-Hilal,2-0,Al-Khaleej
Tue Apr 04 2023,Al-Fayha,0-2,Al-Hilal
Tue Apr 04 2023,Al-Adalah,0-5,Al-Nassr
Tue Apr 04 2023,Al-Ittihad,3-0,Damac
Wed Apr 05 2023,Al-Ta'ee,2-2,Al-Raed
Wed Apr 05 2023,Al-Batin,2-0,Al-Wehda
Wed Apr 05 2023,Abha,1-1,Al-Taawoun
Thu Apr 06 2023,Al-Fateh,2-0,Al-Khaleej
Fri Apr 07 2023,Al-Shabab,3-0,Al-Hilal
Sun Apr 09 2023,Al-Taawoun,1-1,Al-Ettifaq
Sun Apr 09 2023,Al-Fayha,0-0,Al-Nassr
Sun Apr 09 2023,Abha,3-2,Al-Batin
Sun Apr 09 2023,Al-Wehda,1-2,Al-Ittihad
Mon Apr 10 2023,Al-Hilal,2-2,Al-Ta'ee
Mon Apr 10 2023,Damac,2-2,Al-Adalah
Mon Apr 10 2023,Al-Raed,0-3,Al-Fateh
Tue Apr 11 2023,Al-Khaleej,2-3,Al-Shabab
Fri Apr 14 2023,Al-Ettifaq,1-0,Al-Fayha
Fri Apr 14 2023,Al-Batin,1-0,Al-Hilal
Tue Apr 18 2023,Al-Hilal,2-0,Al-Nassr
Thu Apr 27 2023,Al-Adalah,2-1,Al-Taawoun
Thu Apr 27 2023,Al-Ta'ee,1-0,Abha
Thu Apr 27 2023,Al-Ittihad,2-1,Al-Shabab
Fri Apr 28 2023,Al-Ettifaq,2-0,Damac
Fri Apr 28 2023,Al-Fateh,1-1,Al-Wehda
Fri Apr 28 2023,Al-Fayha,0-3,Al-Khaleej
Fri Apr 28 2023,Al-Nassr,4-0,Al-Raed
Tue May 02 2023,Al-Raed,3-1,Al-Batin
Tue May 02 2023,Abha,1-0,Al-Adalah
Tue May 02 2023,Al-Ta'ee,2-1,Al-Fayha
Tue May 02 2023,Al-Khaleej,2-1,Al-Ettifaq
Wed May 03 2023,Al-Taawoun,2-1,Al-Ittihad
Wed May 03 2023,Al-Shabab,1-0,Al-Fateh
Wed May 03 2023,Al-Wehda,0-2,Damac
Mon May 08 2023,Al-Nassr,1-1,Al-Khaleej
Mon May 08 2023,Al-Adalah,1-2,Al-Wehda
Mon May 08 2023,Al-Ittihad,4-0,Abha
Tue May 09 2023,Al-Fayha,3-0,Al-Fateh
Tue May 09 2023,Al-Taawoun,2-1,Al-Raed
Wed May 10 2023,Al-Batin,4-3,Al-Ta'ee
Sun May 14 2023,Al-Ettifaq,1-0,Al-Shabab
Mon May 15 2023,Al-Batin,0-0,Al-Fayha
Mon May 15 2023,Al-Khaleej,0-2,Al-Taawoun
Mon May 15 2023,Al-Raed,5-0,Damac
Mon May 15 2023,Al-Fateh,2-4,Al-Adalah
Tue May 16 2023,Al-Ta'ee,0-2,Al-Nassr
Tue May 16 2023,Al-Hilal,2-2,Al-Ittihad
Thu May 18 2023,Al-Shabab,0-1,Al-Wehda
Thu May 18 2023,Abha,2-1,Al-Ettifaq
Fri May 19 2023,Damac,0-1,Al-Hilal
Mon May 22 2023,Al-Ettifaq,0-4,Al-Fateh
Mon May 22 2023,Damac,1-0,Abha
Mon May 22 2023,Al-Fayha,1-1,Al-Raed
Mon May 22 2023,Al-Wehda,1-4,Al-Khaleej
Mon May 22 2023,Al-Taawoun,2-1,Al-Ta'ee
Tue May 23 2023,Al-Adalah,2-0,Al-Hilal
Tue May 23 2023,Al-Nassr,3-2,Al-Shabab
Tue May 23 2023,Al-Ittihad,1-0,Al-Batin
Sat May 27 2023,Abha,0-3,Al-Hilal
Sat May 27 2023,Al-Fateh,1-1,Damac
Sat May 27 2023,Al-Ettifaq,1-1,Al-Nassr
Sat May 27 2023,Al-Fayha,0-3,Al-Ittihad
Sat May 27 2023,Al-Batin,2-2,Al-Adalah
Sat May 27 2023,Al-Raed,0-0,Al-Khaleej
Sat May 27 2023,Al-Shabab,0-3,Al-Taawoun
Sat May 27 2023,Al-Ta'ee,1-2,Al-Wehda
Wed May 31 2023,Al-Nassr,3-0,Al-Fateh
Wed May 31 2023,Damac,1-4,Al-Shabab
Wed May 31 2023,Al-Hilal,3-2,Al-Raed
Wed May 31 2023,Al-Khaleej,3-1,Abha
Wed May 31 2023,Al-Wehda,0-1,Al-Fayha
Wed May 31 2023,Al-Ittihad,2-0,Al-Ta'ee
Wed May 31 2023,Al-Adalah,0-2,Al-Ettifaq
Wed May 31 2023,Al-Taawoun,3-1,Al-Batin
