Date,Team 1,FT,Team 2
Fri Aug 11 2023,Al-Ahli,3-1,Al-Hazem
Sat Aug 12 2023,Al-Ta'ee,1-0,Damac
Sat Aug 12 2023,Al-Fayha,3-1,Al-Khaleej
Sun Aug 13 2023,Al-Riyadh SC,1-0,Al-Wehda
Sun Aug 13 2023,Al-Fateh,1-1,Al-Taawoun
Mon Aug 14 2023,Abha,1-3,Al-Hilal
Mon Aug 14 2023,Al-Raed,0-3,Al-Ittihad
Mon Aug 14 2023,Al-Ettifaq,2-1,Al-Nassr
Mon Aug 14 2023,Al-Shabab,1-1,Al Okhdood SC
Thu Aug 17 2023,Damac,2-2,Al-Riyadh SC
Thu Aug 17 2023,Al-Khaleej,1-3,Al-Ahli
Fri Aug 18 2023,Al Okhdood SC,1-3,Al-Fateh
Fri Aug 18 2023,Al-Hazem,0-2,Al-Ettifaq
Fri Aug 18 2023,Al-Nassr,0-2,Al-Taawoun
Fri Aug 18 2023,Al-Wehda,3-1,Al-Shabab
Sat Aug 19 2023,Abha,1-0,Al-Raed
Sat Aug 19 2023,Al-Hilal,1-1,Al-Fayha
Sat Aug 19 2023,Al-Ittihad,2-0,Al-Ta'ee
Thu Aug 24 2023,Al-Ta'ee,0-3,Al-Wehda
Thu Aug 24 2023,Al-Ettifaq,1-1,Al-Khaleej
Thu Aug 24 2023,Al-Riyadh SC,0-4,Al-Ittihad
Thu Aug 24 2023,Al-Raed,0-4,Al-Hilal
Thu Aug 24 2023,Al-Ahli,1-0,Al Okhdood SC
Fri Aug 25 2023,Al-Fayha,0-0,Al-Hazem
Fri Aug 25 2023,Al-Shabab,1-1,Damac
Fri Aug 25 2023,Al-Taawoun,1-0,Abha
Fri Aug 25 2023,Al-Fateh,0-5,Al-Nassr
Mon Aug 28 2023,Abha,2-1,Al-Fayha
Mon Aug 28 2023,Al-Raed,3-0,Al-Riyadh SC
Mon Aug 28 2023,Al-Hilal,2-0,Al-Ettifaq
Mon Aug 28 2023,Al-Wehda,0-3,Al-Ittihad
Tue Aug 29 2023,Damac,2-2,Al-Fateh
Tue Aug 29 2023,Al Okhdood SC,0-1,Al-Taawoun
Tue Aug 29 2023,Al-Khaleej,1-1,Al-Hazem
Tue Aug 29 2023,Al-Nassr,4-0,Al-Shabab
Tue Aug 29 2023,Al-Ahli,2-0,Al-Ta'ee
Fri Sep 01 2023,Al-Ta'ee,1-0,Abha
Fri Sep 01 2023,Al-Fayha,0-0,Al-Raed
Fri Sep 01 2023,Al-Riyadh SC,0-1,Al Okhdood SC
Fri Sep 01 2023,Al-Ittihad,3-4,Al-Hilal
Sat Sep 02 2023,Al-Hazem,1-5,Al-Nassr
Sat Sep 02 2023,Al-Shabab,1-3,Al-Khaleej
Sat Sep 02 2023,Al-Fateh,5-1,Al-Ahli
Sat Sep 02 2023,Al-Taawoun,4-1,Al-Wehda
Sat Sep 02 2023,Al-Ettifaq,3-1,Damac
Thu Sep 14 2023,Al Okhdood SC,0-1,Al-Ittihad
Thu Sep 14 2023,Al-Wehda,4-2,Damac
Fri Sep 15 2023,Al-Fayha,0-1,Al-Shabab
Fri Sep 15 2023,Al-Hilal,6-1,Al-Riyadh SC
Fri Sep 15 2023,Al-Khaleej,1-3,Al-Fateh
Sat Sep 16 2023,Abha,1-3,Al-Ettifaq
Sat Sep 16 2023,Al-Raed,1-3,Al-Nassr
Sat Sep 16 2023,Al-Hazem,1-1,Al-Ta'ee
Sat Sep 16 2023,Al-Ahli,3-2,Al-Taawoun
Thu Sep 21 2023,Al-Ettifaq,4-3,Al-Ta'ee
Thu Sep 21 2023,Damac,1-1,Al-Hilal
Thu Sep 21 2023,Al-Taawoun,2-1,Al-Raed
Thu Sep 21 2023,Al-Ittihad,2-1,Al-Fateh
Thu Sep 21 2023,Al-Shabab,4-1,Al-Hazem
Fri Sep 22 2023,Al Okhdood SC,0-1,Al-Khaleej
Fri Sep 22 2023,Al-Riyadh SC,1-3,Al-Fayha
Fri Sep 22 2023,Al-Wehda,4-0,Abha
Fri Sep 22 2023,Al-Nassr,4-3,Al-Ahli
Fri Sep 29 2023,Al-Hazem,1-3,Al-Taawoun
Fri Sep 29 2023,Al-Ta'ee,1-2,Al-Nassr
Fri Sep 29 2023,Al-Fayha,0-0,Al-Ittihad
Fri Sep 29 2023,Al-Hilal,2-0,Al-Shabab
Sat Sep 30 2023,Abha,0-1,Al-Riyadh SC
Sat Sep 30 2023,Al-Raed,1-2,Al Okhdood SC
Sat Sep 30 2023,Al-Fateh,5-1,Al-Wehda
Sat Sep 30 2023,Al-Khaleej,0-2,Damac
Sat Sep 30 2023,Al-Ahli,0-0,Al-Ettifaq
Thu Oct 05 2023,Damac,4-1,Al-Hazem
Thu Oct 05 2023,Al-Riyadh SC,2-2,Al-Shabab
Thu Oct 05 2023,Al-Taawoun,3-0,Al-Ta'ee
Thu Oct 05 2023,Al-Ettifaq,1-2,Al-Fateh
Fri Oct 06 2023,Al-Nassr,2-2,Abha
Fri Oct 06 2023,Al-Ittihad,0-1,Al-Ahli
Sat Oct 07 2023,Al Okhdood SC,0-3,Al-Hilal
Sat Oct 07 2023,Al-Wehda,1-1,Al-Fayha
Sat Oct 07 2023,Al-Khaleej,0-0,Al-Raed
Fri Oct 20 2023,Al Okhdood SC,1-2,Al-Fayha
Fri Oct 20 2023,Al-Taawoun,1-1,Al-Ittihad
Fri Oct 20 2023,Al-Fateh,4-1,Abha
Fri Oct 20 2023,Al-Hilal,1-0,Al-Khaleej
Sat Oct 21 2023,Al-Hazem,4-3,Al-Raed
Sat Oct 21 2023,Al-Nassr,2-1,Damac
Sat Oct 21 2023,Al-Ahli,3-1,Al-Wehda
Sat Oct 21 2023,Al-Shabab,2-0,Al-Ta'ee
Sun Oct 22 2023,Al-Riyadh SC,1-0,Al-Ettifaq
Thu Oct 26 2023,Damac,2-0,Al Okhdood SC
Thu Oct 26 2023,Al-Khaleej,1-1,Al-Taawoun
Thu Oct 26 2023,Al-Ittihad,2-2,Al-Hazem
Fri Oct 27 2023,Al-Ta'ee,3-2,Al-Riyadh SC
Fri Oct 27 2023,Al-Raed,1-2,Al-Fateh
Fri Oct 27 2023,Al-Hilal,3-1,Al-Ahli
Sat Oct 28 2023,Abha,2-1,Al-Shabab
Sat Oct 28 2023,Al-Fayha,1-3,Al-Nassr
Sat Oct 28 2023,Al-Wehda,2-3,Al-Ettifaq
Fri Nov 03 2023,Al-Fateh,0-2,Al-Hilal
Fri Nov 03 2023,Al-Ta'ee,3-3,Al-Fayha
Fri Nov 03 2023,Al-Shabab,1-0,Al-Ittihad
Sat Nov 04 2023,Abha,3-2,Al Okhdood SC
Sat Nov 04 2023,Al-Ettifaq,0-0,Al-Raed
Sat Nov 04 2023,Al-Nassr,2-0,Al-Khaleej
Sun Nov 05 2023,Al-Hazem,1-2,Al-Wehda
Sun Nov 05 2023,Al-Taawoun,0-0,Damac
Sun Nov 05 2023,Al-Ahli,3-0,Al-Riyadh SC
Thu Nov 09 2023,Al-Khaleej,3-1,Al-Ta'ee
Thu Nov 09 2023,Al-Raed,2-1,Al-Shabab
Thu Nov 09 2023,Al-Riyadh SC,1-1,Al-Fateh
Thu Nov 09 2023,Damac,2-2,Al-Ahli
Fri Nov 10 2023,Al-Hilal,2-0,Al-Taawoun
Fri Nov 10 2023,Al-Ittihad,4-2,Abha
Sat Nov 11 2023,Al Okhdood SC,2-1,Al-Hazem
Sat Nov 11 2023,Al-Fayha,0-0,Al-Ettifaq
Sat Nov 11 2023,Al-Wehda,1-3,Al-Nassr
Fri Nov 24 2023,Al-Taawoun,1-2,Al-Riyadh SC
Fri Nov 24 2023,Al-Ettifaq,1-1,Al-Ittihad
Fri Nov 24 2023,Al-Ta'ee,4-3,Al-Raed
Fri Nov 24 2023,Al-Nassr,3-0,Al Okhdood SC
Sat Nov 25 2023,Al-Hazem,0-9,Al-Hilal
Sat Nov 25 2023,Al-Fateh,0-1,Al-Fayha
Sat Nov 25 2023,Al-Wehda,3-1,Al-Khaleej
Sat Nov 25 2023,Damac,4-2,Abha
Sat Nov 25 2023,Al-Ahli,0-0,Al-Shabab
Thu Nov 30 2023,Al-Riyadh SC,0-0,Al-Hazem
Thu Nov 30 2023,Abha,0-6,Al-Ahli
Thu Nov 30 2023,Al-Ittihad,4-2,Al-Khaleej
Fri Dec 01 2023,Al-Fayha,2-4,Damac
Fri Dec 01 2023,Al-Hilal,3-0,Al-Nassr
Sat Dec 02 2023,Al-Fateh,0-1,Al-Ta'ee
Sat Dec 02 2023,Al Okhdood SC,1-0,Al-Ettifaq
Sat Dec 02 2023,Al-Raed,2-0,Al-Wehda
Sat Dec 02 2023,Al-Shabab,1-2,Al-Taawoun
Thu Dec 07 2023,Damac,3-1,Al-Ittihad
Thu Dec 07 2023,Al-Hazem,2-0,Al-Fateh
Thu Dec 07 2023,Al-Shabab,0-0,Al-Ettifaq
Fri Dec 08 2023,Al-Khaleej,3-1,Abha
Fri Dec 08 2023,Al-Ta'ee,1-2,Al-Hilal
Fri Dec 08 2023,Al-Taawoun,4-1,Al-Fayha
Fri Dec 08 2023,Al-Nassr,4-1,Al-Riyadh SC
Sat Dec 09 2023,Al-Ahli,0-0,Al-Raed
Sat Dec 09 2023,Al-Wehda,2-0,Al Okhdood SC
Thu Dec 14 2023,Abha,1-1,Al-Hazem
Thu Dec 14 2023,Al Okhdood SC,1-0,Al-Ta'ee
Thu Dec 14 2023,Al-Fayha,0-4,Al-Ahli
Fri Dec 15 2023,Al-Fateh,1-1,Al-Shabab
Fri Dec 15 2023,Al-Raed,0-1,Damac
Fri Dec 15 2023,Al-Hilal,2-0,Al-Wehda
Sat Dec 16 2023,Al-Riyadh SC,0-1,Al-Khaleej
Sat Dec 16 2023,Al-Ettifaq,0-2,Al-Taawoun
Thu Dec 21 2023,Al-Khaleej,3-0,Al-Fayha
Thu Dec 21 2023,Damac,3-0,Al-Ta'ee
Thu Dec 21 2023,Al-Hilal,7-0,Abha
